"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_WT","mean_SHED","ngood_WT","ngood_SHED"
"987","P68369",-0.220081974825972,-2.59059252519554,-5.95866368288283,8.64601419491477e-06,0.00800620914449108,3.68694637342928,TRUE,-2.70063351260853,-2.48055153778255,9,9
"380","E9PZ00",-0.171563679886662,-2.58848680475041,-5.2512877497181,4.1313733965307e-05,0.0191282588259372,2.26515163862811,TRUE,-2.67426864469374,-2.50270496480708,9,9
"629","P06801",-0.304530763286771,-2.59866328881757,-4.92988130436432,8.55209379269014e-05,0.0237766855464537,1.5992880781708,TRUE,-2.75092867046096,-2.44639790717419,9,9
"984","P68134",-0.25224321341894,-2.59441506740111,-4.84958663923184,0.00010270706499548,0.0237766855464537,1.43137447283216,TRUE,-2.72053667411058,-2.46829346069164,9,9
"471","F8WIR1",-0.190898163619971,-2.59007120602812,-4.74552381365064,0.000130309448518425,0.0241333098656123,1.21295325540318,TRUE,-2.6855202878381,-2.49462212421813,9,9
"1460","Q8VCH0",-0.234649055748876,-2.59348090052395,-4.64110939608137,0.000165583268181833,0.0255550177227296,0.992975971336285,TRUE,-2.71080542839839,-2.47615637264951,9,9
"168","A0A3B2W864",0.273351063998336,-2.59665487994454,4.4587265988579,0.000251994077640581,0.0333352165564541,0.607102846673582,TRUE,-2.45997934794537,-2.73333041194371,9,9
"717","P19639",0.20235272213483,-2.59111733140885,4.39940499708166,0.000288971767462372,0.0334484820837696,0.481233592181149,TRUE,-2.48994097034144,-2.69229369247627,9,9
"1701","Q9DB20",-0.143275392290472,-2.58774342137376,-4.32335605525676,0.00034448627155015,0.035443809717271,0.319675187037602,TRUE,-2.65938111751899,-2.51610572522852,9,9
"128","A0A1W2P6F6",-0.152605754468434,-2.58839248671542,-4.13354867073471,0.000534489686506171,0.0376943304094841,-0.0841770226889604,TRUE,-2.66469536394964,-2.5120896094812,9,9
"468","F8WHU8",0.61812286927835,-2.64211223955794,4.58309067759787,0.000459199175406072,0.0376943304094841,0.149674962420559,TRUE,-2.33305080491877,-2.95117367419712,6,6
"659","P11087",0.959961278541817,-2.74019478364598,4.20397615627873,0.000454066272491988,0.0376943304094841,0.0657398586436226,TRUE,-2.26021414437507,-3.22017542291689,9,9
"849","P50580",-0.152463798686568,-2.58838635891995,-4.16267518533031,0.000499627976088494,0.0376943304094841,-0.0221708003650605,TRUE,-2.66461825826323,-2.51215445957667,9,9
"899","P60843",-0.148670514794821,-2.5882777848309,-4.10585640101268,0.00056989268437665,0.0376943304094841,-0.143133516395115,TRUE,-2.66261304222831,-2.51394252743349,9,9
"252","A8DUK4",-0.361782171636716,-2.61067563991593,-4.0355436102495,0.000670693906049142,0.041404170466767,-0.292823258553807,TRUE,-2.79156672573429,-2.42978455409758,9,9
"875","P56379",0.452667726935451,-2.62001429745463,3.98888609657999,0.000747239022547153,0.0432464584299165,-0.392129372615485,TRUE,-2.3936804339869,-2.84634816092236,9,9
"883","P56654",0.285763567873214,-2.59974750893798,3.92076327950725,0.000874933348180627,0.0476581341420741,-0.53705168642982,TRUE,-2.45686572500137,-2.74262929287458,9,9
"170","A0A3B2WCD8",0.222086046118082,-2.59127687484431,4.1556064676367,0.00103179581910646,0.0520031942682811,-0.560704871077808,FALSE,-2.48023385178527,-2.70231989790335,6,6
"836","P49935",-0.18414250887925,-2.59093740749241,-3.80397112092828,0.00114645927980758,0.0520031942682811,-0.785183063773387,FALSE,-2.68300866193203,-2.49886615305278,9,9
"937","P62751",0.225844077004089,-2.59421906113906,3.80258178433127,0.00115014896707278,0.0520031942682811,-0.788131443098082,FALSE,-2.48129702263701,-2.7071410996411,9,9
"1027","P97501",0.34386275705896,-2.60798997827246,3.79174440680746,0.0011793380989567,0.0520031942682811,-0.811126789364101,FALSE,-2.43605859974298,-2.77992135680194,9,9
"260","B1AR34",0.404215917075846,-2.61643403789929,3.70828832512839,0.00143019024625749,0.0529742467213774,-0.987997315951674,FALSE,-2.41432607936136,-2.81854199643721,9,9
"579","O55125",-0.181254092739264,-2.59092567666647,-3.75292589133206,0.00129006180268749,0.0529742467213774,-0.893444872175318,FALSE,-2.6815527230361,-2.50029863029684,9,9
"1713","Q9DBM2",-0.266163533213143,-2.5994874376999,-3.71895924993991,0.00139537628320806,0.0529742467213774,-0.965404937282462,FALSE,-2.73256920430647,-2.46640567109332,9,9
"1752","Q9ET01",0.155157561014314,-2.58913946417356,3.71980960805043,0.00139263842089793,0.0529742467213774,-0.963604258846075,FALSE,-2.5115606836664,-2.66671824468072,9,9
"1685","Q9D823",0.230014521185678,-2.59520867778384,3.66998860934532,0.00156238518515063,0.0556449492865185,-1.06902318858739,FALSE,-2.480201417191,-2.71021593837667,9,9
"727","P21614",-0.131612228948474,-2.58783138372268,-3.63036129997178,0.00171190490565924,0.0570351605167995,-1.15274726239223,FALSE,-2.65363749819692,-2.52202526924845,9,9
"785","P35700",-0.143090655626978,-2.58859195259207,-3.62715480194875,0.00172460528560517,0.0570351605167995,-1.15951664940005,FALSE,-2.66013728040556,-2.51704662477858,9,9
