,Ctrl-1,Ctrl-2,SHED-1,SHED-2
Tuba1a,0.157759783166874,0.156647812120447,0.184710250434562,0.188105620654972
Psap,0.161793587049807,0.160558652792097,0.184380653938722,0.184490713359805
Me1,0.151053591172678,0.144038404523511,0.184992943778191,0.211505782581164
Acta1,0.154919014750326,0.16358228210916,0.206076565411052,0.177621406311356
Ctsd,0.162780606643159,0.160573519434518,0.192656475435462,0.187704953653178
Acaa1b,0.150838179608806,0.156900021262459,0.207722742252395,0.177158268481169
Gm49804,0.195422511834259,0.20096230796789,0.13753260782306,0.165856068920945
Gstm3,0.192195534763569,0.181632118280094,0.149305311471201,0.167889263783259
Atp5o,0.162283357816998,0.158076873167092,0.180815634387586,0.168889111345485
Myl6,0.152313843237902,0.166938908030057,0.185032375488334,0.178474867437713
Slirp,0.280268362206107,0.178148609945121,0.121599839950395,0.150134248726728
Col1a1,0.226588856352642,0.309847614060012,0.0720738348976907,0.140818998668884
Pa2g4,0.158589279769538,0.167821224661132,0.189585951166857,0.172975269424603
Eif4a1,0.160726626258361,0.158716297781905,0.18838531705576,0.18320506891592
Hbb-bt,0.146211899164158,0.151421754646865,0.186169523128705,0.238466803919294
Atp5mpl,0.221916489599253,0.190962788087482,0.117945647910964,0.162433018816592
Cyp2c37,0.191845758603646,0.172449923357961,0.145371480340306,0.150154456861545
Khsrp,0.189611089670468,0.184496579626049,0.152383268063833,0.145136654164329
Ctsh,0.15001636767253,0.159570634700801,0.193748608262163,0.16979210347391
Rpl23a,0.191337333660877,0.193262930308716,0.142220312897346,0.171033070501895
Fmo3,0.191747995481575,0.186258694730882,0.146836215246813,0.14596836083078
Asgr1,0.226451450209972,0.201218889723682,0.114153052090546,0.159081533515587
Nipsnap1,0.155277582017947,0.157459870337562,0.191307893060562,0.16063829585753
Ehhadh,0.143713674186624,0.170658239669619,0.227428832240325,0.164022920983875
Pygl,0.190244386429726,0.17559080443937,0.177141814684563,0.151936322704495
Rpl37rt,0.187731738703237,0.203106276114323,0.145876725795609,0.156310117248721
Gc,0.165977986208283,0.163624731167784,0.189190174486903,0.184102022805918
Prdx1,0.165474431006245,0.158125156206874,0.192648598354379,0.174965841247932
Gstp1,0.157228882593947,0.157405432305862,0.195891459105158,0.158016023282218
Tkt,0.161036873650927,0.153308645515779,0.202389828934826,0.173172702851436
Coq9,0.155049894752659,0.163055126839762,0.212331727220485,0.171670504381473
Mttp,0.159662047225484,0.156693507645441,0.200979994480373,0.181742300141252
Rplp0,0.159042313596163,0.147069969452212,0.211997694657612,0.179170036575811
Prdx3,0.162941929016827,0.154956812595304,0.199014244718085,0.178748093123868
Col1a2,0.193663517264442,0.26878317936116,0.0930024602724817,0.168663845782776
Cox5a,0.154176473659617,0.158990876016667,0.220274922783041,0.170478516070169
Trf,0.160760287902072,0.143268608626803,0.181927912476326,0.235764543301341
Gstt3,0.149234268312302,0.163827824412073,0.198663903290983,0.178034380207762
Grn,0.154038116282974,0.164560029947685,0.171118514230274,0.203813981105703
Atad3a,0.19691941440512,0.181198244509518,0.137734601134161,0.161402881515203
Slc25a22,0.223084988786691,0.173455034520248,0.121701324610859,0.178979648105891
Rpsa,0.163933031322604,0.150723659332463,0.200643866703236,0.173012588014706
Rpl22,0.157535975835117,0.168896343043576,0.189173649075841,0.176558387455388
Atp5j,0.15355259985448,0.153613294834766,0.219421148784021,0.1675273384322
Rplp2,0.157341275751282,0.168094922657272,0.193962701415401,0.173871985649005
Agl,0.22913237446622,0.215208187337757,0.189111913507326,0.144129974337562
Gphn,0.19446884171617,0.190849466441393,0.167977590161474,0.155984988685798
Ctsb,0.163269136895451,0.171507948696041,0.192746560355026,0.182106184586551
Rpl29,0.202592419386694,0.208325466855488,0.110984211879076,0.172055031831791
Pcbp1,0.193821248097323,0.184934697895121,0.159736095314895,0.163053539979327
Rps20,0.204342768712573,0.210323039098495,0.155100710492489,0.15962705359252
Timm13,0.162116179577404,0.162372947907109,0.187905265160684,0.180656210358765
Fh1,0.162491064370522,0.15711823671337,0.19115497063987,0.18560950969726
Fmo5,0.18391300099102,0.178327843130682,0.14825537810669,0.157592607434263
Slc27a5,0.197551882091884,0.184317197544873,0.165365047902538,0.166145082463521
Q61838,0.140689957843617,0.157530925195308,0.188809627095657,0.255808991562178
Hspe1,0.15896801001964,0.159762196699613,0.195128761010997,0.181016460083222
