"","WT1-1","WT1-2","WT1-3","WT2-1","WT2-2","WT2-3","WT3-1","WT3-2","WT3-3","SHED1-1","SHED1-2","SHED1-3","SHED2-1","SHED2-2","SHED2-3","SHED3-1","SHED3-2","SHED3-3","APP/PS1+SALT1-1","APP/PS1+SALT1-2","APP/PS1+SALT1-3","APP/PS1+SALT2-1","APP/PS1+SALT2-2","APP/PS1+SALT2-3","APP/PS1+SHED1-1","APP/PS1+SHED1-2","APP/PS1+SHED1-3","APP/PS1+SHED2-1","APP/PS1+SHED2-2","APP/PS1+SHED2-3","APP/PS1+HUCMSC1-1","APP/PS1+HUCMSC1-2","APP/PS1+HUCMSC1-3","APP/PS1+HUCMSC2-1","APP/PS1+HUCMSC2-2","APP/PS1+HUCMSC2-3"
"A0A075B5P3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A075B639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A075B6A0",NA,0.14467408677166,0.149573531535941,NA,0.168653608886373,0.174608473909706,NA,0.149308320742707,0.159983857321366,NA,0.162939237236942,0.144739948043826,NA,0.166650539549881,0.171711365528654,NA,0.207774108773192,0.199382624372408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A076FR46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162281832202731,0.172695259949754,0.175395124650814,0.16999488694008,0.167826307801384,0.160489973242073,0.170095125306913,0.170486551762688,0.170597103599242,0.165448163325919,0.169334956151909,0.162258176955302,0.16715149586256,0.160413002372324,0.166045444363539,0.165028494628878,0.159243921402338,0.165214178167526
"A0A087WNP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WP83",0.168641192380389,0.176778098884355,0.172372444164102,0.165462146480216,0.155549268819422,0.16643413980825,0.161627229255328,0.165735025867043,0.154712614211884,0.167492641829724,0.1722255186938,0.186647633601079,0.165395476043488,0.173899369743781,0.168206901841667,0.171381306886189,0.155812740004118,0.151626293514066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WPC2",0.16091053176242,0.166790778510719,0.149332773471986,0.187891747897264,0.186219656860262,0.180966018714881,0.155283454419496,0.153915855178861,0.168661621926148,0.153781104629565,0.127924138849514,0.157569979489434,0.177672846730273,0.185054719369679,0.17752336919581,0.164460286311996,0.180094843973711,0.165946139330553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WPM5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WQI6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WQS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
