Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	20/90	5.500576878515158e-21	6.9066259732422975e-18	0	0	28.590282813633067	1333.7205105593464	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL22;RPSA;RPL23A;RPL8;RPL6;RPS14;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	20/93	1.1155922092831663e-20	6.9066259732422975e-18	0	0	27.411167512690355	1259.332532586078	EIF4A1;RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL22;RPSA;RPL23A;RPL8;RPL6;RPS14;RPL35;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	20/94	1.403785766919166e-20	6.9066259732422975e-18	0	0	27.03937439978049	1236.0381905446493	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL22;RPSA;RPL23A;RPL8;RPL6;RPS14;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	20/103	9.845063913744796e-20	3.632828584171829e-17	0	0	24.09638554216868	1054.5718471279615	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPL22;RPLP0;RPSA;RPL23A;RPL8;RPL6;RPS14;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	20/113	6.883643622599899e-19	2.0320515973914895e-16	0	0	21.49445990939359	898.8976397491056	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPL22;RPLP0;RPSA;RPL23A;RPL8;RPL6;RPS14;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	21/162	6.918108989639393e-17	1.7018548114512907e-14	0	0	14.925531914893616	555.3761188803976	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPL22;RPLP0;RPSA;RRBP1;RPL23A;RPL8;RPL6;RPS14;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	translation (GO:0006412)	22/214	1.7967587382826816e-15	3.788594139578912e-13	0	0	11.511805555555556	390.85794019585705	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPL22;RPLP0;RPSA;RRBP1;RPL23A;RPL8;RPL6;EEF1B2;RPS14;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	20/171	2.966124548406222e-15	5.47249979180948e-13	0	0	13.199314216559651	441.53712561383344	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPL22;RPLP0;RPSA;RPL23A;RPL8;RPL6;RPS14;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	20/192	2.8108679387893583e-14	4.609823419614548e-12	0	0	11.575374808169048	361.1829242748112	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPL22;RPLP0;RPL23A;RPL8;RPL6;RPS14;RPL35;RPLP2;RPL13;RPL15;RPL29;GLUL;RPL28;RAN
GO_Biological_Process_2021	gene expression (GO:0010467)	25/356	1.401116742812031e-13	2.0680483123905576e-11	0	0	7.652001510574018	226.47121249949072	RPL3;RPL31;RPL12;RPL34;RPLP1;RPLP0;HNRNPU;RRBP1;RPL8;RPL6;RPS14;RPL13;RPL35;RPLP2;RPL15;RPS9;RPL22;RPSA;RPL23A;DDX39B;SRSF3;RPS20;SRSF5;RPL29;RPL28
