Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Ribosome	22/170	1.2703966172060098e-17	2.223194080110517e-15	0	0	14.967775467775468	582.3155783844275	RPS9;RPL3;RPL31;RPL34;RPLP1;RPL12;RPL22;RPLP0;RPSA;RPL23A;RPL8;RPL6;RPS14;RPS3A1;RPL35;RPLP2;RPL13;RPS20;RPL15;RPL29;RPL28;RPL37RT
KEGG_2019_Mouse	Alzheimer disease	16/175	8.44955087604997e-11	7.393357016543723e-09	0	0	9.824587753058609	227.87465907040348	UQCRB;NDUFA5;ATP5J;ATP2A2;COX7A2;ATP5O;COX5A;HSD17B10;ATP5B;NDUFS7;NDUFS6;ATP5E;UQCRC2;NDUFV3;NDUFV2;CALM1
KEGG_2019_Mouse	Oxidative phosphorylation	14/134	2.2340332379153643e-10	1.3031860554506293e-08	0	0	11.300574712643678	251.12184985723044	UQCRB;NDUFA5;ATP5J;COX7A2;ATP5O;COX5A;ATP5J2;ATP5B;NDUFS7;NDUFS6;ATP5E;UQCRC2;NDUFV3;NDUFV2
KEGG_2019_Mouse	Chemical carcinogenesis	12/94	4.289796023808723e-10	1.8767857604163164e-08	0	0	14.063771564544911	303.350092318008	CYP2C37;GSTM3;ADH1;UGT2B36;GSTP1;EPHX1;GSTT3;MGST1;CYP2E1;CYP2C29;ADH5;SULT2A1
KEGG_2019_Mouse	Metabolism of xenobiotics by cytochrome P450	10/66	2.281508135616662e-09	7.985278474658318e-08	0	0	17.01777087646653	338.6269080705254	GSTM3;ADH1;UGT2B36;GSTP1;EPHX1;GSTT3;MGST1;CYP2E1;ADH5;SULT2A1
KEGG_2019_Mouse	Parkinson disease	13/144	6.074244603180309e-09	1.7716546759275904e-07	0	0	9.559796437659031	180.8637791594905	UQCRB;NDUFA5;ATP5J;COX7A2;ATP5O;COX5A;ATP5B;NDUFS7;NDUFS6;ATP5E;UQCRC2;NDUFV3;NDUFV2
KEGG_2019_Mouse	Huntington disease	14/192	2.4574031389319628e-08	6.143507847329907e-07	0	0	7.595893064703604	133.0920144776171	UQCRB;NDUFA5;ATP5J;COX7A2;AP2A1;ATP5O;COX5A;ATP5B;NDUFS7;NDUFS6;ATP5E;UQCRC2;NDUFV3;NDUFV2
KEGG_2019_Mouse	PPAR signaling pathway	10/85	2.8285955088012866e-08	6.187552675502814e-07	0	0	12.694363929146538	220.639475628673	SCP2;EHHADH;ME1;APOA2;ACSL5;APOA1;APOC3;ACAA1B;HMGCS2;SLC27A5
KEGG_2019_Mouse	Thermogenesis	15/231	3.6386459845074835e-08	7.075144969875661e-07	0	0	6.726828932893289	115.22431770813404	UQCRB;NDUFA5;ACSL5;ATP5J;COX7A2;ATP5O;COX5A;ATP5J2;ATP5B;NDUFS7;NDUFS6;ATP5E;UQCRC2;NDUFV3;NDUFV2
KEGG_2019_Mouse	Drug metabolism	10/114	4.680968425745874e-07	8.19169474505528e-06	0	0	9.141118543292457	133.22806070405	GSTM3;ADH1;UGT2B36;GSTP1;GSTT3;MGST1;CYP2E1;FMO3;FMO5;ADH5
